mode,checkpoint,T,token_correct,string_correct,token_acc,string_acc,n
retrieval-rope,final,1536,2560,256,1.0,1.0,256
retrieval-rope,final,2048,2560,256,1.0,1.0,256
retrieval-rope,final,3072,2560,256,1.0,1.0,256
retrieval-rope,final,4096,2560,256,1.0,1.0,256
retrieval-rope,final,6144,2560,256,1.0,1.0,256
retrieval-rope,final,8192,2560,256,1.0,1.0,256
compressor-rope,best,1,2560,256,1.0,1.0,256
compressor-rope,best,2,2560,256,1.0,1.0,256
compressor-rope,best,3,2560,256,1.0,1.0,256
compressor-rope,best,4,2560,256,1.0,1.0,256
compressor-rope,best,5,2560,256,1.0,1.0,256
compressor-rope,best,6,2560,256,1.0,1.0,256
compressor-rope,best,7,2560,256,1.0,1.0,256
compressor-rope,best,8,2560,256,1.0,1.0,256
compressor-rope,best,9,2560,256,1.0,1.0,256
compressor-rope,best,10,2560,256,1.0,1.0,256
compressor-rope,best,11,2560,256,1.0,1.0,256
compressor-rope,best,12,2560,256,1.0,1.0,256
compressor-rope,best,13,2560,256,1.0,1.0,256
compressor-rope,best,14,2560,256,1.0,1.0,256
compressor-rope,best,16,2560,256,1.0,1.0,256
compressor-rope,best,24,2560,256,1.0,1.0,256
compressor-rope,best,32,2560,256,1.0,1.0,256
compressor-rope,best,48,2560,256,1.0,1.0,256
compressor-rope,best,64,2560,256,1.0,1.0,256
compressor-rope,best,96,2560,256,1.0,1.0,256
compressor-rope,best,128,2560,256,1.0,1.0,256
compressor-rope,best,192,2560,256,1.0,1.0,256
compressor-rope,best,256,2560,256,1.0,1.0,256
compressor-rope,best,384,2560,256,1.0,1.0,256
compressor-rope,best,512,2560,256,1.0,1.0,256
compressor-rope,best,768,2560,256,1.0,1.0,256
compressor-rope,best,1024,2560,256,1.0,1.0,256
compressor-rope,best,1536,2560,256,1.0,1.0,256
compressor-rope,best,2048,2560,256,1.0,1.0,256
compressor-rope,best,3072,2560,256,1.0,1.0,256
compressor-rope,best,4096,2560,256,1.0,1.0,256
compressor-rope,best,6144,2560,256,1.0,1.0,256
compressor-rope,best,8192,2560,256,1.0,1.0,256
compressor-rope,final,1,2560,256,1.0,1.0,256
compressor-rope,final,2,2560,256,1.0,1.0,256
compressor-rope,final,3,2560,256,1.0,1.0,256
compressor-rope,final,4,2560,256,1.0,1.0,256
compressor-rope,final,5,2560,256,1.0,1.0,256
compressor-rope,final,6,2560,256,1.0,1.0,256
compressor-rope,final,7,2560,256,1.0,1.0,256
compressor-rope,final,8,2560,256,1.0,1.0,256
compressor-rope,final,9,2560,256,1.0,1.0,256
compressor-rope,final,10,2560,256,1.0,1.0,256
compressor-rope,final,11,2560,256,1.0,1.0,256
compressor-rope,final,12,2560,256,1.0,1.0,256
compressor-rope,final,13,2560,256,1.0,1.0,256
compressor-rope,final,14,2560,256,1.0,1.0,256
compressor-rope,final,16,2560,256,1.0,1.0,256
compressor-rope,final,24,2560,256,1.0,1.0,256
compressor-rope,final,32,2560,256,1.0,1.0,256
compressor-rope,final,48,2560,256,1.0,1.0,256
compressor-rope,final,64,2560,256,1.0,1.0,256
compressor-rope,final,96,2560,256,1.0,1.0,256
compressor-rope,final,128,2560,256,1.0,1.0,256
compressor-rope,final,192,2560,256,1.0,1.0,256
compressor-rope,final,256,2560,256,1.0,1.0,256
compressor-rope,final,384,2560,256,1.0,1.0,256
compressor-rope,final,512,2560,256,1.0,1.0,256
compressor-rope,final,768,2560,256,1.0,1.0,256
compressor-rope,final,1024,2560,256,1.0,1.0,256
compressor-rope,final,1536,2560,256,1.0,1.0,256
compressor-rope,final,2048,2560,256,1.0,1.0,256
compressor-rope,final,3072,2560,256,1.0,1.0,256
compressor-rope,final,4096,2560,256,1.0,1.0,256
compressor-rope,final,6144,2560,256,1.0,1.0,256
compressor-rope,final,8192,2560,256,1.0,1.0,256
