mode,position_mode,checkpoint,evaluation,T,n,token_correct,string_correct,token_acc,string_acc,digit_errors
local-control,local-control,final,standard,16,256,2316,99,0.9046875,0.38671875,"[0, 2, 4, 30, 43, 81, 65, 15, 4, 0]"
local-control,local-control,final,standard,24,256,2333,115,0.911328125,0.44921875,"[0, 2, 6, 36, 45, 72, 46, 19, 1, 0]"
local-control,local-control,final,standard,32,256,2222,64,0.86796875,0.25,"[0, 2, 7, 57, 65, 95, 72, 31, 7, 2]"
local-control,local-control,final,standard,48,256,2027,24,0.791796875,0.09375,"[0, 0, 14, 50, 63, 108, 126, 109, 54, 9]"
local-control,local-control,final,standard,64,256,2048,28,0.8,0.109375,"[3, 1, 10, 76, 82, 113, 103, 78, 37, 9]"
local-control,local-control,final,standard,96,256,2025,23,0.791015625,0.08984375,"[0, 5, 19, 74, 76, 127, 99, 101, 31, 3]"
local-control,local-control,final,standard,128,256,1981,14,0.773828125,0.0546875,"[0, 6, 12, 116, 86, 142, 107, 72, 32, 6]"
local-control,local-control,final,standard,192,256,1910,17,0.74609375,0.06640625,"[0, 3, 13, 138, 99, 119, 125, 104, 39, 10]"
local-control,local-control,final,standard,256,256,1749,1,0.683203125,0.00390625,"[2, 8, 15, 204, 120, 135, 128, 149, 45, 5]"
local-control,local-control,final,standard,384,256,1861,9,0.726953125,0.03515625,"[0, 9, 14, 160, 105, 130, 120, 114, 40, 7]"
local-control,local-control,final,standard,512,256,1715,3,0.669921875,0.01171875,"[1, 6, 17, 204, 133, 139, 133, 148, 54, 10]"
local-control,local-control,final,standard,768,256,1702,1,0.66484375,0.00390625,"[0, 2, 23, 195, 132, 159, 132, 136, 69, 10]"
local-control,local-control,final,standard,1024,256,1658,0,0.64765625,0.0,"[0, 8, 31, 198, 127, 138, 143, 151, 82, 24]"
local-control,local-control,final,standard,1536,256,1631,0,0.637109375,0.0,"[1, 5, 34, 196, 134, 156, 152, 143, 86, 22]"
local-control,local-control,final,standard,2048,256,1587,2,0.619921875,0.0078125,"[1, 10, 43, 192, 151, 154, 159, 154, 86, 23]"
local-control,local-control,final,standard,3072,256,1551,1,0.605859375,0.00390625,"[1, 8, 72, 189, 142, 155, 152, 155, 103, 32]"
local-control,local-control,final,standard,4096,256,1450,0,0.56640625,0.0,"[10, 20, 87, 174, 163, 175, 161, 170, 111, 39]"
local-control,local-control,final,standard,6144,256,1464,0,0.571875,0.0,"[7, 31, 89, 162, 145, 183, 168, 168, 112, 31]"
local-control,local-control,final,standard,8192,256,1373,0,0.536328125,0.0,"[9, 37, 117, 160, 161, 175, 163, 175, 132, 58]"
aligned,aligned,best,standard,1,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
aligned,aligned,best,standard,2,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
aligned,aligned,best,standard,3,256,2533,230,0.989453125,0.8984375,"[0, 1, 7, 1, 5, 8, 3, 2, 0, 0]"
aligned,aligned,best,standard,4,256,2524,222,0.9859375,0.8671875,"[0, 0, 2, 12, 6, 3, 3, 4, 4, 2]"
aligned,aligned,best,standard,5,256,2462,178,0.96171875,0.6953125,"[0, 2, 2, 5, 20, 18, 15, 18, 14, 4]"
aligned,aligned,best,standard,6,256,2406,140,0.93984375,0.546875,"[0, 2, 2, 17, 13, 49, 42, 18, 8, 3]"
aligned,aligned,best,standard,7,256,2385,122,0.931640625,0.4765625,"[0, 2, 14, 34, 44, 55, 22, 2, 2, 0]"
aligned,aligned,best,standard,8,256,2422,154,0.94609375,0.6015625,"[0, 2, 5, 29, 40, 37, 13, 11, 1, 0]"
aligned,aligned,best,standard,9,256,2407,140,0.940234375,0.546875,"[0, 0, 17, 23, 43, 40, 17, 13, 0, 0]"
aligned,aligned,best,standard,10,256,2415,148,0.943359375,0.578125,"[0, 1, 4, 29, 34, 45, 20, 9, 3, 0]"
aligned,aligned,best,standard,11,256,2294,84,0.89609375,0.328125,"[0, 2, 5, 34, 75, 67, 66, 15, 2, 0]"
aligned,aligned,best,standard,12,256,2327,100,0.908984375,0.390625,"[0, 2, 8, 31, 62, 70, 35, 17, 8, 0]"
aligned,aligned,best,standard,13,256,2335,110,0.912109375,0.4296875,"[0, 3, 12, 33, 58, 59, 36, 22, 1, 1]"
aligned,aligned,best,standard,14,256,2331,102,0.910546875,0.3984375,"[0, 0, 7, 33, 53, 56, 48, 21, 11, 0]"
aligned,aligned,best,standard,16,256,2291,79,0.894921875,0.30859375,"[0, 1, 7, 36, 81, 78, 42, 15, 6, 3]"
aligned,aligned,best,standard,24,256,2222,64,0.86796875,0.25,"[0, 1, 15, 44, 95, 103, 61, 16, 3, 0]"
aligned,aligned,best,standard,32,256,2151,41,0.840234375,0.16015625,"[0, 1, 19, 71, 110, 100, 69, 26, 8, 5]"
aligned,aligned,best,standard,48,256,2110,35,0.82421875,0.13671875,"[0, 2, 22, 65, 99, 101, 79, 57, 19, 6]"
aligned,aligned,best,standard,64,256,2047,25,0.799609375,0.09765625,"[0, 4, 23, 86, 117, 120, 95, 52, 13, 3]"
aligned,aligned,best,standard,96,256,2056,22,0.803125,0.0859375,"[0, 9, 25, 74, 117, 133, 101, 40, 5, 0]"
aligned,aligned,best,standard,128,256,1923,10,0.751171875,0.0390625,"[1, 11, 45, 92, 145, 150, 109, 56, 23, 5]"
aligned,aligned,best,standard,192,256,1901,9,0.742578125,0.03515625,"[0, 12, 56, 87, 138, 139, 121, 78, 26, 2]"
aligned,aligned,best,standard,256,256,1704,2,0.665625,0.0078125,"[3, 26, 71, 134, 154, 160, 128, 113, 56, 11]"
aligned,aligned,best,standard,384,256,1788,2,0.6984375,0.0078125,"[1, 29, 63, 119, 136, 165, 145, 86, 24, 4]"
aligned,aligned,best,standard,512,256,1610,1,0.62890625,0.00390625,"[3, 24, 79, 133, 173, 186, 169, 118, 59, 6]"
aligned,aligned,best,standard,768,256,1567,0,0.612109375,0.0,"[2, 39, 94, 145, 169, 160, 167, 131, 79, 7]"
aligned,aligned,best,standard,1024,256,1345,0,0.525390625,0.0,"[8, 54, 131, 174, 181, 166, 178, 161, 125, 37]"
aligned,aligned,best,standard,1536,256,1466,0,0.57265625,0.0,"[3, 57, 123, 150, 156, 182, 181, 143, 83, 16]"
aligned,aligned,best,standard,2048,256,1147,0,0.448046875,0.0,"[21, 85, 128, 157, 187, 207, 188, 164, 171, 105]"
aligned,aligned,best,standard,3072,256,672,0,0.2625,0.0,"[220, 209, 224, 192, 155, 168, 195, 180, 194, 151]"
aligned,aligned,best,standard,4096,256,538,0,0.21015625,0.0,"[215, 198, 218, 204, 194, 197, 219, 219, 194, 164]"
aligned,aligned,best,standard,6144,256,541,0,0.211328125,0.0,"[227, 211, 228, 223, 209, 198, 194, 203, 180, 146]"
aligned,aligned,best,standard,8192,256,495,0,0.193359375,0.0,"[211, 213, 216, 227, 204, 206, 200, 214, 199, 175]"
aligned,aligned,final,standard,1,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
aligned,aligned,final,standard,2,256,2554,250,0.99765625,0.9765625,"[0, 0, 0, 3, 0, 2, 0, 1, 0, 0]"
aligned,aligned,final,standard,3,256,2510,212,0.98046875,0.828125,"[0, 0, 8, 3, 13, 11, 8, 7, 0, 0]"
