mode,checkpoint,T,token_correct,string_correct,token_acc,string_acc,n
compressor-rope,best,1024,1631,2,0.637109375,0.0078125,256
compressor-rope,best,1536,1626,0,0.63515625,0.0,256
compressor-rope,best,2048,1640,0,0.640625,0.0,256
compressor-rope,best,3072,1622,0,0.63359375,0.0,256
compressor-rope,best,4096,1467,0,0.573046875,0.0,256
compressor-rope,best,6144,1479,0,0.577734375,0.0,256
compressor-rope,best,8192,1485,0,0.580078125,0.0,256
compressor-rope,final,1,2547,243,0.994921875,0.94921875,256
compressor-rope,final,2,2545,242,0.994140625,0.9453125,256
compressor-rope,final,3,2526,226,0.98671875,0.8828125,256
compressor-rope,final,4,2209,17,0.862890625,0.06640625,256
compressor-rope,final,5,2170,24,0.84765625,0.09375,256
compressor-rope,final,6,2201,60,0.859765625,0.234375,256
compressor-rope,final,7,2219,47,0.866796875,0.18359375,256
compressor-rope,final,8,2187,19,0.854296875,0.07421875,256
compressor-rope,final,9,1531,0,0.598046875,0.0,256
compressor-rope,final,10,2448,174,0.95625,0.6796875,256
compressor-rope,final,11,2372,114,0.9265625,0.4453125,256
compressor-rope,final,12,2348,85,0.9171875,0.33203125,256
compressor-rope,final,13,2419,138,0.944921875,0.5390625,256
compressor-rope,final,14,2461,182,0.961328125,0.7109375,256
compressor-rope,final,16,2458,169,0.96015625,0.66015625,256
compressor-rope,final,24,2271,40,0.887109375,0.15625,256
compressor-rope,final,32,2428,151,0.9484375,0.58984375,256
compressor-rope,final,48,2023,7,0.790234375,0.02734375,256
compressor-rope,final,64,2365,106,0.923828125,0.4140625,256
compressor-rope,final,96,2377,106,0.928515625,0.4140625,256
compressor-rope,final,128,2367,97,0.924609375,0.37890625,256
compressor-rope,final,192,2392,116,0.934375,0.453125,256
compressor-rope,final,256,1939,6,0.757421875,0.0234375,256
compressor-rope,final,384,1907,5,0.744921875,0.01953125,256
compressor-rope,final,512,1943,3,0.758984375,0.01171875,256
compressor-rope,final,768,1950,4,0.76171875,0.015625,256
compressor-rope,final,1024,1720,2,0.671875,0.0078125,256
compressor-rope,final,1536,1750,1,0.68359375,0.00390625,256
compressor-rope,final,2048,1718,0,0.67109375,0.0,256
compressor-rope,final,3072,1706,1,0.66640625,0.00390625,256
compressor-rope,final,4096,1415,0,0.552734375,0.0,256
compressor-rope,final,6144,1399,0,0.546484375,0.0,256
compressor-rope,final,8192,1422,0,0.55546875,0.0,256
