phase_emb,mode,checkpoint,T,token_acc,string_acc,n
False,retrieval-rope,final,11,0.995703125,0.95703125,256
False,retrieval-rope,final,12,0.998046875,0.984375,256
False,retrieval-rope,final,13,0.97265625,0.734375,256
False,retrieval-rope,final,14,0.994921875,0.94921875,256
False,retrieval-rope,final,16,0.996484375,0.97265625,256
False,retrieval-rope,final,24,1.0,1.0,256
False,retrieval-rope,final,32,0.995703125,0.95703125,256
False,retrieval-rope,final,48,0.997265625,0.97265625,256
False,retrieval-rope,final,64,0.99453125,0.94921875,256
False,retrieval-rope,final,96,0.99765625,0.9765625,256
False,retrieval-rope,final,128,0.99765625,0.9765625,256
False,retrieval-rope,final,192,0.99921875,0.9921875,256
False,retrieval-rope,final,256,0.996875,0.96875,256
False,retrieval-rope,final,384,0.99375,0.94140625,256
False,retrieval-rope,final,512,0.996484375,0.96875,256
False,retrieval-rope,final,768,0.99765625,0.9765625,256
False,retrieval-rope,final,1024,0.998046875,0.98046875,256
False,retrieval-rope,final,1536,0.996484375,0.96484375,256
False,retrieval-rope,final,2048,0.9984375,0.984375,256
False,retrieval-rope,final,3072,0.997265625,0.97265625,256
False,retrieval-rope,final,4096,0.99609375,0.9609375,256
False,retrieval-rope,final,6144,0.998046875,0.98046875,256
False,retrieval-rope,final,8192,0.99765625,0.9765625,256
True,compressor-rope,best,1,1.0,1.0,256
True,compressor-rope,best,2,1.0,1.0,256
True,compressor-rope,best,3,1.0,1.0,256
True,compressor-rope,best,4,1.0,1.0,256
True,compressor-rope,best,5,1.0,1.0,256
True,compressor-rope,best,6,1.0,1.0,256
True,compressor-rope,best,7,1.0,1.0,256
True,compressor-rope,best,8,1.0,1.0,256
True,compressor-rope,best,9,1.0,1.0,256
True,compressor-rope,best,10,1.0,1.0,256
True,compressor-rope,best,11,1.0,1.0,256
True,compressor-rope,best,12,1.0,1.0,256
True,compressor-rope,best,13,1.0,1.0,256
True,compressor-rope,best,14,1.0,1.0,256
True,compressor-rope,best,16,1.0,1.0,256
True,compressor-rope,best,24,1.0,1.0,256
True,compressor-rope,best,32,1.0,1.0,256
True,compressor-rope,best,48,1.0,1.0,256
True,compressor-rope,best,64,1.0,1.0,256
True,compressor-rope,best,96,1.0,1.0,256
True,compressor-rope,best,128,1.0,1.0,256
True,compressor-rope,best,192,1.0,1.0,256
True,compressor-rope,best,256,1.0,1.0,256
True,compressor-rope,best,384,1.0,1.0,256
True,compressor-rope,best,512,1.0,1.0,256
True,compressor-rope,best,768,1.0,1.0,256
True,compressor-rope,best,1024,1.0,1.0,256
True,compressor-rope,best,1536,1.0,1.0,256
True,compressor-rope,best,2048,1.0,1.0,256
True,compressor-rope,best,3072,1.0,1.0,256
True,compressor-rope,best,4096,1.0,1.0,256
True,compressor-rope,best,6144,1.0,1.0,256
True,compressor-rope,best,8192,1.0,1.0,256
False,compressor-rope,best,1,0.999609375,0.99609375,256
False,compressor-rope,best,2,0.992578125,0.9296875,256
False,compressor-rope,best,3,0.988671875,0.8984375,256
False,compressor-rope,best,4,0.919921875,0.33984375,256
False,compressor-rope,best,5,0.91328125,0.359375,256
False,compressor-rope,best,6,0.88515625,0.28125,256
False,compressor-rope,best,7,0.891015625,0.25390625,256
False,compressor-rope,best,8,0.892578125,0.15234375,256
False,compressor-rope,best,9,0.653125,0.0,256
False,compressor-rope,best,10,0.93984375,0.5234375,256
False,compressor-rope,best,11,0.891015625,0.2109375,256
False,compressor-rope,best,12,0.947265625,0.5546875,256
False,compressor-rope,best,13,0.93203125,0.4921875,256
False,compressor-rope,best,14,0.96171875,0.6953125,256
False,compressor-rope,best,16,0.966015625,0.6953125,256
False,compressor-rope,best,24,0.9109375,0.23828125,256
False,compressor-rope,best,32,0.933984375,0.46875,256
False,compressor-rope,best,48,0.73984375,0.01171875,256
False,compressor-rope,best,64,0.927734375,0.4375,256
False,compressor-rope,best,96,0.882421875,0.18359375,256
False,compressor-rope,best,128,0.918359375,0.3828125,256
False,compressor-rope,best,192,0.9296875,0.44140625,256
False,compressor-rope,best,256,0.698828125,0.0,256
False,compressor-rope,best,384,0.678515625,0.0,256
False,compressor-rope,best,512,0.683984375,0.0078125,256
False,compressor-rope,best,768,0.6859375,0.00390625,256
False,compressor-rope,best,1024,0.637109375,0.0078125,256
False,compressor-rope,best,1536,0.63515625,0.0,256
False,compressor-rope,best,2048,0.640625,0.0,256
False,compressor-rope,best,3072,0.63359375,0.0,256
False,compressor-rope,best,4096,0.573046875,0.0,256
False,compressor-rope,best,6144,0.577734375,0.0,256
False,compressor-rope,best,8192,0.580078125,0.0,256
True,compressor-rope,final,1,1.0,1.0,256
True,compressor-rope,final,2,1.0,1.0,256
True,compressor-rope,final,3,1.0,1.0,256
True,compressor-rope,final,4,1.0,1.0,256
True,compressor-rope,final,5,1.0,1.0,256
True,compressor-rope,final,6,1.0,1.0,256
True,compressor-rope,final,7,1.0,1.0,256
True,compressor-rope,final,8,1.0,1.0,256
True,compressor-rope,final,9,1.0,1.0,256
True,compressor-rope,final,10,1.0,1.0,256
True,compressor-rope,final,11,1.0,1.0,256
True,compressor-rope,final,12,1.0,1.0,256
True,compressor-rope,final,13,1.0,1.0,256
True,compressor-rope,final,14,1.0,1.0,256
True,compressor-rope,final,16,1.0,1.0,256
True,compressor-rope,final,24,1.0,1.0,256
True,compressor-rope,final,32,1.0,1.0,256
True,compressor-rope,final,48,1.0,1.0,256
True,compressor-rope,final,64,1.0,1.0,256
True,compressor-rope,final,96,1.0,1.0,256
True,compressor-rope,final,128,1.0,1.0,256
True,compressor-rope,final,192,1.0,1.0,256
True,compressor-rope,final,256,1.0,1.0,256
True,compressor-rope,final,384,1.0,1.0,256
True,compressor-rope,final,512,1.0,1.0,256
True,compressor-rope,final,768,1.0,1.0,256
True,compressor-rope,final,1024,1.0,1.0,256
True,compressor-rope,final,1536,1.0,1.0,256
True,compressor-rope,final,2048,1.0,1.0,256
True,compressor-rope,final,3072,1.0,1.0,256
True,compressor-rope,final,4096,1.0,1.0,256
True,compressor-rope,final,6144,1.0,1.0,256
True,compressor-rope,final,8192,1.0,1.0,256
False,compressor-rope,final,1,0.994921875,0.94921875,256
False,compressor-rope,final,2,0.994140625,0.9453125,256
False,compressor-rope,final,3,0.98671875,0.8828125,256
False,compressor-rope,final,4,0.862890625,0.06640625,256
False,compressor-rope,final,5,0.84765625,0.09375,256
False,compressor-rope,final,6,0.859765625,0.234375,256
False,compressor-rope,final,7,0.866796875,0.18359375,256
False,compressor-rope,final,8,0.854296875,0.07421875,256
False,compressor-rope,final,9,0.598046875,0.0,256
False,compressor-rope,final,10,0.95625,0.6796875,256
False,compressor-rope,final,11,0.9265625,0.4453125,256
False,compressor-rope,final,12,0.9171875,0.33203125,256
False,compressor-rope,final,13,0.944921875,0.5390625,256
False,compressor-rope,final,14,0.961328125,0.7109375,256
False,compressor-rope,final,16,0.96015625,0.66015625,256
False,compressor-rope,final,24,0.887109375,0.15625,256
False,compressor-rope,final,32,0.9484375,0.58984375,256
False,compressor-rope,final,48,0.790234375,0.02734375,256
False,compressor-rope,final,64,0.923828125,0.4140625,256
False,compressor-rope,final,96,0.928515625,0.4140625,256
False,compressor-rope,final,128,0.924609375,0.37890625,256
False,compressor-rope,final,192,0.934375,0.453125,256
False,compressor-rope,final,256,0.757421875,0.0234375,256
False,compressor-rope,final,384,0.744921875,0.01953125,256
False,compressor-rope,final,512,0.758984375,0.01171875,256
False,compressor-rope,final,768,0.76171875,0.015625,256
False,compressor-rope,final,1024,0.671875,0.0078125,256
False,compressor-rope,final,1536,0.68359375,0.00390625,256
False,compressor-rope,final,2048,0.67109375,0.0,256
False,compressor-rope,final,3072,0.66640625,0.00390625,256
False,compressor-rope,final,4096,0.552734375,0.0,256
False,compressor-rope,final,6144,0.546484375,0.0,256
False,compressor-rope,final,8192,0.55546875,0.0,256
