mode,checkpoint,T,string_correct,token_correct,token_acc,string_acc,n
self-off,final,384,2,1773,0.692578125,0.0078125,256
self-off,final,512,2,1766,0.68984375,0.0078125,256
self-off,final,768,0,1758,0.68671875,0.0,256
self-off,final,1024,1,1744,0.68125,0.00390625,256
self-off,final,1536,3,1743,0.680859375,0.01171875,256
self-off,final,2048,0,1766,0.68984375,0.0,256
self-off,final,3072,0,1736,0.678125,0.0,256
self-off,final,4096,2,1765,0.689453125,0.0078125,256
self-off,final,6144,2,1771,0.691796875,0.0078125,256
self-off,final,8192,1,1788,0.6984375,0.00390625,256
self-off,final,12288,0,1739,0.679296875,0.0,256
self-off,final,16384,1,1741,0.680078125,0.00390625,256
self-off,final,24576,2,1758,0.68671875,0.0078125,256
self-off,final,32768,3,1744,0.68125,0.01171875,256
self-off,final,49152,0,1729,0.675390625,0.0,256
self-off,final,65536,0,1766,0.68984375,0.0,256
self-off,final,98304,2,1734,0.67734375,0.0078125,256
self-off,final,131072,2,1772,0.6921875,0.0078125,256
self-on,final,1,247,2551,0.996484375,0.96484375,256
self-on,final,2,220,2519,0.983984375,0.859375,256
self-on,final,3,10,2089,0.816015625,0.0390625,256
self-on,final,4,254,2557,0.998828125,0.9921875,256
self-on,final,5,217,2518,0.98359375,0.84765625,256
self-on,final,6,210,2514,0.98203125,0.8203125,256
self-on,final,7,120,2410,0.94140625,0.46875,256
self-on,final,8,255,2559,0.999609375,0.99609375,256
self-on,final,9,175,2478,0.96796875,0.68359375,256
self-on,final,10,234,2537,0.991015625,0.9140625,256
self-on,final,11,245,2549,0.995703125,0.95703125,256
self-on,final,12,252,2555,0.998046875,0.984375,256
self-on,final,13,188,2490,0.97265625,0.734375,256
self-on,final,14,243,2547,0.994921875,0.94921875,256
self-on,final,16,249,2551,0.996484375,0.97265625,256
self-on,final,24,256,2560,1.0,1.0,256
self-on,final,32,245,2549,0.995703125,0.95703125,256
self-on,final,48,249,2553,0.997265625,0.97265625,256
self-on,final,64,243,2546,0.99453125,0.94921875,256
self-on,final,96,250,2554,0.99765625,0.9765625,256
self-on,final,128,250,2554,0.99765625,0.9765625,256
self-on,final,192,254,2558,0.99921875,0.9921875,256
self-on,final,256,248,2552,0.996875,0.96875,256
self-on,final,384,241,2544,0.99375,0.94140625,256
self-on,final,512,248,2551,0.996484375,0.96875,256
self-on,final,768,250,2554,0.99765625,0.9765625,256
self-on,final,1024,251,2555,0.998046875,0.98046875,256
self-on,final,1536,247,2551,0.996484375,0.96484375,256
self-on,final,2048,252,2556,0.9984375,0.984375,256
self-on,final,3072,249,2553,0.997265625,0.97265625,256
self-on,final,4096,246,2550,0.99609375,0.9609375,256
self-on,final,6144,251,2555,0.998046875,0.98046875,256
self-on,final,8192,250,2554,0.99765625,0.9765625,256
self-on,final,12288,253,2557,0.998828125,0.98828125,256
self-on,final,16384,251,2555,0.998046875,0.98046875,256
self-on,final,24576,247,2551,0.996484375,0.96484375,256
self-on,final,32768,246,2550,0.99609375,0.9609375,256
self-on,final,49152,251,2555,0.998046875,0.98046875,256
self-on,final,65536,232,2536,0.990625,0.90625,256
self-on,final,98304,244,2548,0.9953125,0.953125,256
self-on,final,131072,247,2551,0.996484375,0.96484375,256
