mode,checkpoint,T,token_correct,string_correct,token_acc,string_acc,n
compressor-rope,final,7,1535,0,0.599609375,0.0,256
compressor-rope,final,8,1706,5,0.66640625,0.01953125,256
compressor-rope,final,9,1595,1,0.623046875,0.00390625,256
compressor-rope,final,10,1599,0,0.624609375,0.0,256
compressor-rope,final,11,1447,0,0.565234375,0.0,256
compressor-rope,final,12,1818,3,0.71015625,0.01171875,256
compressor-rope,final,13,1843,8,0.719921875,0.03125,256
compressor-rope,final,14,1858,8,0.72578125,0.03125,256
compressor-rope,final,16,1799,3,0.702734375,0.01171875,256
compressor-rope,final,24,1569,0,0.612890625,0.0,256
compressor-rope,final,32,1585,1,0.619140625,0.00390625,256
compressor-rope,final,48,1416,0,0.553125,0.0,256
compressor-rope,final,64,1455,0,0.568359375,0.0,256
compressor-rope,final,96,1607,0,0.627734375,0.0,256
compressor-rope,final,128,1415,0,0.552734375,0.0,256
compressor-rope,final,192,1397,0,0.545703125,0.0,256
compressor-rope,final,256,1384,0,0.540625,0.0,256
compressor-rope,final,384,1442,0,0.56328125,0.0,256
compressor-rope,final,512,1372,0,0.5359375,0.0,256
compressor-rope,final,768,1351,0,0.527734375,0.0,256
compressor-rope,final,1024,1386,0,0.54140625,0.0,256
compressor-rope,final,1536,1358,0,0.53046875,0.0,256
compressor-rope,final,2048,1311,0,0.512109375,0.0,256
compressor-rope,final,3072,1274,0,0.49765625,0.0,256
compressor-rope,final,4096,1202,0,0.46953125,0.0,256
compressor-rope,final,6144,1218,0,0.47578125,0.0,256
compressor-rope,final,8192,1069,0,0.417578125,0.0,256
