phase_emb,mode,checkpoint,T,token_acc,string_acc,n
False,retrieval-rope,final,2,0.993359375,0.94921875,256
False,retrieval-rope,final,3,0.984375,0.87890625,256
False,retrieval-rope,final,4,0.969921875,0.7578125,256
False,retrieval-rope,final,5,0.9640625,0.765625,256
False,retrieval-rope,final,6,0.935546875,0.5625,256
False,retrieval-rope,final,7,0.916796875,0.50390625,256
False,retrieval-rope,final,8,0.906640625,0.3984375,256
False,retrieval-rope,final,9,0.934375,0.52734375,256
False,retrieval-rope,final,10,0.9375,0.56640625,256
False,retrieval-rope,final,11,0.912890625,0.47265625,256
False,retrieval-rope,final,12,0.936328125,0.5078125,256
False,retrieval-rope,final,13,0.937890625,0.5546875,256
False,retrieval-rope,final,14,0.9390625,0.52734375,256
False,retrieval-rope,final,16,0.93671875,0.5625,256
False,retrieval-rope,final,24,0.8921875,0.30859375,256
False,retrieval-rope,final,32,0.9046875,0.3828125,256
False,retrieval-rope,final,48,0.82421875,0.1640625,256
False,retrieval-rope,final,64,0.8125,0.12109375,256
False,retrieval-rope,final,96,0.772265625,0.08203125,256
False,retrieval-rope,final,128,0.78046875,0.0546875,256
False,retrieval-rope,final,192,0.783984375,0.05078125,256
False,retrieval-rope,final,256,0.753515625,0.04296875,256
False,retrieval-rope,final,384,0.730859375,0.01953125,256
False,retrieval-rope,final,512,0.732421875,0.0234375,256
False,retrieval-rope,final,768,0.690234375,0.01953125,256
False,retrieval-rope,final,1024,0.709375,0.01953125,256
False,retrieval-rope,final,1536,0.68203125,0.01171875,256
False,retrieval-rope,final,2048,0.66796875,0.0078125,256
False,retrieval-rope,final,3072,0.608984375,0.01171875,256
False,retrieval-rope,final,4096,0.572265625,0.0,256
False,retrieval-rope,final,6144,0.559375,0.0,256
False,retrieval-rope,final,8192,0.49453125,0.0,256
True,compressor-rope,best,1,1.0,1.0,256
True,compressor-rope,best,2,0.99921875,0.9921875,256
True,compressor-rope,best,3,0.998046875,0.98046875,256
True,compressor-rope,best,4,0.97890625,0.82421875,256
True,compressor-rope,best,5,0.98671875,0.88671875,256
True,compressor-rope,best,6,0.98671875,0.88671875,256
True,compressor-rope,best,7,0.983984375,0.859375,256
True,compressor-rope,best,8,0.9875,0.88671875,256
True,compressor-rope,best,9,0.99609375,0.9609375,256
True,compressor-rope,best,10,0.996484375,0.96875,256
True,compressor-rope,best,11,0.994921875,0.95703125,256
True,compressor-rope,best,12,0.991015625,0.91015625,256
True,compressor-rope,best,13,0.9875,0.88671875,256
True,compressor-rope,best,14,0.994140625,0.953125,256
True,compressor-rope,best,16,0.959765625,0.68359375,256
True,compressor-rope,best,24,0.939453125,0.5703125,256
True,compressor-rope,best,32,0.9015625,0.359375,256
True,compressor-rope,best,48,0.846484375,0.16796875,256
True,compressor-rope,best,64,0.856640625,0.23046875,256
True,compressor-rope,best,96,0.8203125,0.17578125,256
True,compressor-rope,best,128,0.75234375,0.05859375,256
True,compressor-rope,best,192,0.683984375,0.01953125,256
True,compressor-rope,best,256,0.7375,0.03125,256
True,compressor-rope,best,384,0.7203125,0.046875,256
True,compressor-rope,best,512,0.65859375,0.015625,256
True,compressor-rope,best,768,0.63828125,0.0078125,256
True,compressor-rope,best,1024,0.685546875,0.02734375,256
True,compressor-rope,best,1536,0.658203125,0.0234375,256
True,compressor-rope,best,2048,0.6203125,0.0,256
True,compressor-rope,best,3072,0.56171875,0.0,256
True,compressor-rope,best,4096,0.60625,0.00390625,256
True,compressor-rope,best,6144,0.594921875,0.0,256
True,compressor-rope,best,8192,0.53828125,0.0,256
False,compressor-rope,best,1,0.998046875,0.98046875,256
False,compressor-rope,best,2,0.987109375,0.890625,256
False,compressor-rope,best,3,0.946875,0.57421875,256
False,compressor-rope,best,4,0.8046875,0.09765625,256
False,compressor-rope,best,5,0.792578125,0.08203125,256
False,compressor-rope,best,6,0.64921875,0.00390625,256
False,compressor-rope,best,7,0.566796875,0.0,256
False,compressor-rope,best,8,0.720703125,0.01953125,256
False,compressor-rope,best,9,0.63203125,0.0,256
False,compressor-rope,best,10,0.651953125,0.0,256
False,compressor-rope,best,11,0.625,0.0,256
False,compressor-rope,best,12,0.715625,0.0078125,256
False,compressor-rope,best,13,0.68125,0.0,256
False,compressor-rope,best,14,0.729296875,0.015625,256
False,compressor-rope,best,16,0.74453125,0.03515625,256
False,compressor-rope,best,24,0.6640625,0.0078125,256
False,compressor-rope,best,32,0.505078125,0.0,256
False,compressor-rope,best,48,0.542578125,0.0,256
False,compressor-rope,best,64,0.5578125,0.0,256
False,compressor-rope,best,96,0.57578125,0.0,256
False,compressor-rope,best,128,0.51328125,0.0,256
False,compressor-rope,best,192,0.5234375,0.0,256
False,compressor-rope,best,256,0.5546875,0.0,256
False,compressor-rope,best,384,0.5484375,0.0,256
False,compressor-rope,best,512,0.526953125,0.0,256
False,compressor-rope,best,768,0.520703125,0.0,256
False,compressor-rope,best,1024,0.546484375,0.0,256
False,compressor-rope,best,1536,0.534375,0.0,256
False,compressor-rope,best,2048,0.505078125,0.0,256
False,compressor-rope,best,3072,0.491796875,0.0,256
False,compressor-rope,best,4096,0.471484375,0.0,256
False,compressor-rope,best,6144,0.48828125,0.0,256
False,compressor-rope,best,8192,0.42109375,0.0,256
True,compressor-rope,final,1,1.0,1.0,256
True,compressor-rope,final,2,0.9984375,0.98828125,256
True,compressor-rope,final,3,0.999609375,0.99609375,256
True,compressor-rope,final,4,0.994140625,0.94921875,256
True,compressor-rope,final,5,0.989453125,0.90625,256
True,compressor-rope,final,6,0.983203125,0.84765625,256
True,compressor-rope,final,7,0.97109375,0.78515625,256
True,compressor-rope,final,8,0.97109375,0.76953125,256
True,compressor-rope,final,9,0.9875,0.89453125,256
True,compressor-rope,final,10,0.9875,0.87890625,256
True,compressor-rope,final,11,0.991015625,0.921875,256
True,compressor-rope,final,12,0.987890625,0.88671875,256
True,compressor-rope,final,13,0.98359375,0.87109375,256
True,compressor-rope,final,14,0.981640625,0.83984375,256
True,compressor-rope,final,16,0.961328125,0.6796875,256
True,compressor-rope,final,24,0.910546875,0.4296875,256
True,compressor-rope,final,32,0.9046875,0.359375,256
True,compressor-rope,final,48,0.846484375,0.18359375,256
True,compressor-rope,final,64,0.850390625,0.20703125,256
True,compressor-rope,final,96,0.821484375,0.15625,256
True,compressor-rope,final,128,0.790234375,0.0703125,256
True,compressor-rope,final,192,0.726171875,0.03515625,256
True,compressor-rope,final,256,0.73203125,0.02734375,256
True,compressor-rope,final,384,0.737890625,0.0390625,256
True,compressor-rope,final,512,0.692578125,0.02734375,256
True,compressor-rope,final,768,0.687890625,0.01171875,256
True,compressor-rope,final,1024,0.683203125,0.01171875,256
True,compressor-rope,final,1536,0.672265625,0.01171875,256
True,compressor-rope,final,2048,0.634375,0.0,256
True,compressor-rope,final,3072,0.614453125,0.00390625,256
True,compressor-rope,final,4096,0.56484375,0.0,256
True,compressor-rope,final,6144,0.5703125,0.00390625,256
True,compressor-rope,final,8192,0.513671875,0.0,256
False,compressor-rope,final,1,0.9984375,0.984375,256
False,compressor-rope,final,2,0.978125,0.80078125,256
False,compressor-rope,final,3,0.91640625,0.4453125,256
False,compressor-rope,final,4,0.81171875,0.08984375,256
False,compressor-rope,final,5,0.717578125,0.015625,256
False,compressor-rope,final,6,0.60390625,0.0,256
False,compressor-rope,final,7,0.599609375,0.0,256
False,compressor-rope,final,8,0.66640625,0.01953125,256
False,compressor-rope,final,9,0.623046875,0.00390625,256
False,compressor-rope,final,10,0.624609375,0.0,256
False,compressor-rope,final,11,0.565234375,0.0,256
False,compressor-rope,final,12,0.71015625,0.01171875,256
False,compressor-rope,final,13,0.719921875,0.03125,256
False,compressor-rope,final,14,0.72578125,0.03125,256
False,compressor-rope,final,16,0.702734375,0.01171875,256
False,compressor-rope,final,24,0.612890625,0.0,256
False,compressor-rope,final,32,0.619140625,0.00390625,256
False,compressor-rope,final,48,0.553125,0.0,256
False,compressor-rope,final,64,0.568359375,0.0,256
False,compressor-rope,final,96,0.627734375,0.0,256
False,compressor-rope,final,128,0.552734375,0.0,256
False,compressor-rope,final,192,0.545703125,0.0,256
False,compressor-rope,final,256,0.540625,0.0,256
False,compressor-rope,final,384,0.56328125,0.0,256
False,compressor-rope,final,512,0.5359375,0.0,256
False,compressor-rope,final,768,0.527734375,0.0,256
False,compressor-rope,final,1024,0.54140625,0.0,256
False,compressor-rope,final,1536,0.53046875,0.0,256
False,compressor-rope,final,2048,0.512109375,0.0,256
False,compressor-rope,final,3072,0.49765625,0.0,256
False,compressor-rope,final,4096,0.46953125,0.0,256
False,compressor-rope,final,6144,0.47578125,0.0,256
False,compressor-rope,final,8192,0.417578125,0.0,256
