mode,precision,layer,depth,quantity,head,signal_norm,signal_norm_ratio_d2,signal_cosine_previous,defined_cosine_samples,memory_first_child_weight
phase2,bf16,0,2,k,0,1.4071449467627544,1.0,1.0,16,0.008081513457000256
phase2,bf16,0,2,k,1,0.9797363074491009,1.0,1.0,16,8.981938299257308e-05
phase2,bf16,0,2,k,2,10.058567364923752,1.0,1.0,16,0.03628306835889816
phase2,bf16,0,2,k,3,0.0,,,0,7.073555066336445e-13
phase2,bf16,0,2,k,4,13.728187450133909,1.0,1.0,16,0.0013020734768360853
phase2,bf16,0,2,k,5,7.748898123696588,1.0,1.0,16,6.422931828418728e-19
phase2,bf16,0,2,k,6,11.85612734240662,1.0,1.0,16,0.20124775171279907
phase2,bf16,0,2,k,7,4.2414562941438145,1.0,1.0,16,0.02413857728242874
phase2,bf16,0,2,v,0,1.6545722236852454,1.0,1.0,16,0.008081513457000256
phase2,bf16,0,2,v,1,2.44808061451116,1.0,1.0,16,8.981938299257308e-05
phase2,bf16,0,2,v,2,22.803485846284318,1.0,1.0,16,0.03628306835889816
phase2,bf16,0,2,v,3,0.004784548973941897,1.0,1.0,16,7.073555066336445e-13
phase2,bf16,0,2,v,4,26.488524696061717,1.0,1.0,16,0.0013020734768360853
phase2,bf16,0,2,v,5,13.837730700767393,1.0,1.0,16,6.422931828418728e-19
phase2,bf16,0,2,v,6,11.883634975068219,1.0,1.0,16,0.20124775171279907
phase2,bf16,0,2,v,7,6.076114876865269,1.0,1.0,16,0.02413857728242874
phase2,bf16,1,2,k,0,14.648694599829412,1.0,1.0,16,0.06106390804052353
phase2,bf16,1,2,k,1,23.59719563622572,1.0,1.0,16,3.991964094119402e-22
phase2,bf16,1,2,k,2,35.60658804499872,1.0,1.0,16,1.0
phase2,bf16,1,2,k,3,25.168423953924073,1.0,1.0,16,4.6241761461278266e-20
phase2,bf16,1,2,k,4,7.942051591748786,1.0,1.0,16,0.0
phase2,bf16,1,2,k,5,37.19814000478127,1.0,1.0,16,1.0
phase2,bf16,1,2,k,6,23.41559370487601,1.0,1.0,16,2.906971166452762e-20
phase2,bf16,1,2,k,7,7.135884582249918,1.0,1.0,16,2.0739063642517986e-28
phase2,bf16,1,2,v,0,17.446517747570557,1.0,1.0,16,0.06106390804052353
phase2,bf16,1,2,v,1,30.677994904646425,1.0,1.0,16,3.991964094119402e-22
phase2,bf16,1,2,v,2,34.62000674386265,1.0,1.0,16,1.0
phase2,bf16,1,2,v,3,28.472981827269344,1.0,1.0,16,4.6241761461278266e-20
phase2,bf16,1,2,v,4,5.774361913161762,1.0,1.0,16,0.0
phase2,bf16,1,2,v,5,27.956948117463693,1.0,1.0,16,1.0
phase2,bf16,1,2,v,6,31.2822863227998,1.0,1.0,16,2.906971166452762e-20
phase2,bf16,1,2,v,7,17.09006905641506,1.0,1.0,16,2.0739063642517986e-28
phase2,bf16,0,3,k,0,0.39757666553789306,0.2791090828161047,0.9986019178205432,16,0.279092937707901
phase2,bf16,0,3,k,1,0.26500116875756197,0.27070801098689845,0.9975441018139939,16,0.2711409628391266
phase2,bf16,0,3,k,2,8.613493850788736,0.8758484246759985,0.9999906711439293,16,0.8755688667297363
phase2,bf16,0,3,k,3,0.0,,,0,0.25
phase2,bf16,0,3,k,4,13.416860194059291,0.9044795641004427,0.9998364498240272,16,0.9041881561279297
phase2,bf16,0,3,k,5,0.031250003725290076,0.004032831923512547,-0.052416790387607305,16,3.2036190532380715e-05
phase2,bf16,0,3,k,6,10.945108683372487,0.8728075504740078,0.9999913965195012,16,0.872819185256958
phase2,bf16,0,3,k,7,0.24474447552899262,0.048209583262640465,0.978908962031597,16,0.047919318079948425
phase2,bf16,0,3,v,0,0.4720327580533178,0.2830571477702688,0.9916833420473254,16,0.279092937707901
phase2,bf16,0,3,v,1,0.6640442460490695,0.2711775444129404,0.9987537200709863,16,0.2711409628391266
phase2,bf16,0,3,v,2,19.959853900960745,0.8757641931748716,0.9999948022477108,16,0.8755688667297363
phase2,bf16,0,3,v,3,0.0,0.0,,0,0.25
phase2,bf16,0,3,v,4,25.870760121432962,0.904906476612745,0.9994989104784546,16,0.9041881561279297
phase2,bf16,0,3,v,5,0.001953125,0.00014114489161808059,0.16330463960211924,16,3.2036190532380715e-05
phase2,bf16,0,3,v,6,10.545903697775202,0.8726266979627155,0.9999819089916717,16,0.872819185256958
phase2,bf16,0,3,v,7,0.33031185000120883,0.04802006050589349,0.9860708306091499,16,0.047919318079948425
phase2,bf16,1,3,k,0,1.7649012162157123,0.15115941325487564,0.5008065878617487,16,0.0021231488790363073
phase2,bf16,1,3,k,1,22.925762388634332,0.9709334733987778,0.9993963873553198,16,1.0
phase2,bf16,1,3,k,2,35.60658804499872,1.0,1.0,16,1.0
phase2,bf16,1,3,k,3,25.402973577102344,1.0093519148297299,0.9999093545119526,16,1.0
