mode,precision,layer,depth,head,query_cosine_d5,memory_raw_logit,memory_effective_logit,memory_vs_max_other,memory_attention_weight,fixed_d5_query_content_logit,fixed_d5_query_memory_minus_blank_logit
phase2,bf16,0,2,0,1.0,-3.4989635944366455,-6.272265434265137,-8.60224723815918,0.0014580058632418513,-3.499118372623343,0.0847609527525492
phase2,bf16,0,2,1,1.0,-4.1494140625,-6.917382717132568,-9.753931045532227,0.0001400136825395748,-4.151632092113869,0.24701785821162048
phase2,bf16,0,2,2,1.0,6.412426948547363,3.6399598121643066,2.4719791412353516,0.6534909009933472,6.412039068376179,-3.9678342476137916
phase2,bf16,0,2,3,1.0,-49.025001525878906,-51.82500076293945,-131.5597686767578,1.2555634240350361e-42,-48.97935951203108,0.0
phase2,bf16,0,2,4,1.0,-5.2471923828125,-8.013476371765137,-21.56085777282715,1.5467396963231295e-07,-5.245680366900342,-3.207412227593886
phase2,bf16,0,2,5,1.0,30.521875381469727,27.770313262939453,32.320213317871094,0.9999328851699829,30.50774943381548,-7.9617287293076515
phase2,bf16,0,2,6,1.0,-1.23638117313385,-4.007372856140137,-5.076638221740723,0.014298749156296253,-1.2365783611711323,-2.30883442193649
phase2,bf16,0,2,7,1.0,-5.880663871765137,-8.6494140625,-16.599201202392578,1.7376454479745007e-06,-5.880657929746667,1.2759795138554182
phase2,bf16,1,2,0,0.9995811108240045,102.5400390625,99.601318359375,-416.586181640625,0.0,104.43515649847686,-30.419690265692772
phase2,bf16,1,2,1,0.9996235957690928,47.84257888793945,45.050392150878906,91.72123718261719,1.0,47.67689645779319,63.30372902834788
phase2,bf16,1,2,2,0.9982769531858111,45.09687423706055,42.270652770996094,57.628753662109375,0.9207745790481567,44.76256520479219,60.36301097270916
phase2,bf16,1,2,3,0.9996541561380724,72.90937805175781,69.9984359741211,90.60204315185547,1.0,73.57717112397367,69.91780957229203
phase2,bf16,1,2,4,0.9998240493516292,-352.9125061035156,-355.0249938964844,-550.93310546875,5.286266873374665e-25,-359.039949169755,47.27600877471268
phase2,bf16,1,2,5,0.9993308318353682,68.20703125,65.3492202758789,61.53692626953125,0.7770649194717407,69.0793346986,105.96175347176032
phase2,bf16,1,2,6,0.999244393755238,37.712501525878906,34.962501525878906,87.88658142089844,1.0,37.319842423834054,51.549022837306985
phase2,bf16,1,2,7,0.999776120087188,-223.13125610351562,-225.8312530517578,-301.82342529296875,0.0,-221.4171699691564,-12.787161426618695
phase2,bf16,0,3,0,1.0,-3.5611228942871094,-7.728320121765137,-10.05830192565918,0.000371330592315644,-3.5613396143438876,0.022539711032004563
phase2,bf16,0,3,1,1.0,-4.339062690734863,-8.504687309265137,-11.34123420715332,2.9162954888306558e-05,-4.3378466062597,0.06080334406578913
phase2,bf16,0,3,2,1.0,7.117333889007568,2.959362745285034,1.7913821935653687,0.632119357585907,7.1171142514795065,-3.2627590645104645
phase2,bf16,0,3,3,1.0,-49.025001525878906,-53.224998474121094,-132.9597625732422,2.802596928649634e-43,-48.97935951203108,0.0
phase2,bf16,0,3,4,1.0,-5.215502738952637,-9.386816024780273,-22.9341983795166,3.8989085737739515e-08,-5.214075665856944,-3.1758075265504884
phase2,bf16,0,3,5,1.0,38.493751525878906,34.296875,38.846778869628906,0.9999986886978149,38.48293249681592,0.013454333692789078
phase2,bf16,0,3,6,1.0,-1.033668875694275,-5.195116996765137,-6.264382362365723,0.004948596470057964,-1.0335410967985807,-2.1057971575639387
phase2,bf16,0,3,7,1.0,-7.124413967132568,-11.302343368530273,-19.25213050842285,1.7547770880810276e-07,-7.124201138471108,0.032436305130977415
phase2,bf16,1,3,0,0.9999460794187718,132.56094360351562,128.5390625,-384.5234375,0.0,133.5564888948109,-13.702200047159568
phase2,bf16,1,3,1,0.9999442083689634,47.822265625,43.64336013793945,89.53067779541016,1.0,47.67689645779319,60.46222757014912
