mode,precision,layer,depth,quantity,raw_norm,signal_norm,signal_norm_ratio_d2,signal_cosine_d2,signal_cosine_previous,transform_cosine_pre_post
phase2,bf16,0,2,k,43.916350532761356,23.32525697420443,1.0,1.0,1.0,1.0
phase2,bf16,0,2,v,62.81501968561836,40.915686340346944,1.0,1.0,1.0,1.0
phase2,bf16,1,2,k,97.15982964499423,69.68621252374157,1.0,1.0,1.0,1.0
phase2,bf16,1,2,v,81.63406975611164,73.42817178100456,1.0,1.0,1.0,1.0
phase2,bf16,0,3,k,46.35462732580515,20.355536655701506,0.867612322275048,0.9045754860181525,0.9045754860181525,1.0
phase2,bf16,0,3,v,62.28623663105316,35.593693601242336,0.8599498513845061,0.9020252149253885,0.9020252149253885,1.0
phase2,bf16,1,3,k,101.51559689411968,66.59996655916898,0.9571855386063399,0.9599881678792929,0.9599881678792929,1.0
phase2,bf16,1,3,v,83.74384044698527,68.79489881703975,0.9372869697237755,0.937034032306683,0.937034032306683,0.9999999999999999
phase2,bf16,0,4,k,46.408404312357824,19.95961312666446,0.8497388592992812,0.8792000435280742,0.9931894062388673,1.0
phase2,bf16,0,4,v,62.10622564413363,35.041873152611714,0.8457871728562785,0.8709324692491334,0.991953204519874,1.0
phase2,bf16,1,4,k,101.57883774164247,66.65703869834172,0.9580106138424589,0.9594881274387046,0.9999382069948076,1.0
phase2,bf16,1,4,v,83.75879894750587,68.77465254474586,0.9370112308106218,0.9360358539834992,0.9999290219774061,1.0
phase2,bf16,0,5,k,46.43422377116159,19.771753251923975,0.8411772023567348,0.8629755134312678,0.9975553048393724,1.0
phase2,bf16,0,5,v,62.03918694259437,34.77876693354341,0.8394360555899543,0.8566399603979686,0.998337800303692,1.0
phase2,bf16,1,5,k,101.58017144028426,66.67806653064244,0.9583152875882814,0.9596732157315686,0.9999684605804349,1.0
phase2,bf16,1,5,v,83.74110484571658,68.76555405638399,0.9368885716649662,0.9355197276460454,0.9999516419251568,1.0
phase2,bf16,0,6,k,46.43414280359501,19.64167657992472,0.8351922142956288,0.8537875421443379,0.9987827950353931,1.0
phase2,bf16,0,6,v,62.012659051506105,34.58530488110745,0.8348209913936074,0.8491462144353186,0.9990514547773889,1.0
phase2,bf16,1,6,k,101.56983410518353,66.68411261516383,0.9584038540696792,0.9593673931185336,0.9999780457475044,1.0
phase2,bf16,1,6,v,83.71065600657116,68.76265279590004,0.936849665590946,0.9349902735637441,0.9999695206567485,1.0
phase2,bf16,0,7,k,46.432792138143526,19.547644337379158,0.8308682939323139,0.8458340321923827,0.9985287838308369,1.0
phase2,bf16,0,7,v,62.01622681840819,34.45377198475146,0.8316882038621534,0.8428056693432868,0.9989742553779009,1.0
phase2,bf16,1,7,k,101.60082164364445,66.73243581300886,0.9591059429481795,0.9593002050156608,0.9999724564284747,1.0
phase2,bf16,1,7,v,83.71306849034099,68.7646938299762,0.9368774933504722,0.9346187445051353,0.9999568044700622,1.0
phase2,bf16,0,8,k,46.437952002356994,19.499381635355334,0.8286710246220841,0.8382530084974943,0.9988685677383148,1.0
phase2,bf16,0,8,v,62.033836163371774,34.38885575571855,0.8301455173562943,0.8374112953012898,0.9993766876179013,1.0
phase2,bf16,1,8,k,101.68064035176977,66.79249261489358,0.9599765443848922,0.9591026073373975,0.9999640056300569,1.0
phase2,bf16,1,8,v,83.75646262102835,68.76215527242698,0.9368424038240738,0.9342138172501604,0.9999667935082714,1.0
phase2,fp32,0,2,k,43.9257605843524,23.307970049445025,1.0,1.0,1.0,1.0
phase2,fp32,0,2,v,62.7816967177785,40.892372641955,1.0,1.0,1.0,1.0
phase2,fp32,1,2,k,97.17646095986879,69.6840101348339,1.0,1.0,1.0,1.0
phase2,fp32,1,2,v,81.63853454327135,73.63759715644116,1.0,1.0,1.0,1.0
phase2,fp32,0,3,k,46.33360290117355,20.310089057431323,0.8662516239095418,0.9035483683865964,0.9035483683865964,1.0
phase2,fp32,0,3,v,62.24080691173423,35.53116042250791,0.8588663992317584,0.9010413410702993,0.9010413410702993,1.0
